Synthetic VLF Noisy
430880 9141000 90
30
0	6.37592525
20	5.613717415
40	8.966304326
60	15.28481243
80	11.95865841
100	22.84467128
120	28.80092154
140	32.32531472
160	45.39693519
180	46.21045155
200	48.58776769
220	29.84832575
240	0.037786506
260	-22.80131516
280	-36.09090679
300	-37.39934969
320	-26.53525355
340	-23.57995271
360	-22.24276611
380	-14.43059407
400	-5.413440542
420	-7.173432673
440	1.986734519
460	1.587335917
480	3.858044866
500	6.626000285
520	0.635598748
540	2.493916226
560	8.907038915
580	2.506428512
